"MO100E","MO100S","MO87E","MO87S","MO98E","MO98S","MO99E","MO99S"
10,0,0,0,0,24,0,103
0,140,0,0,0,0,0,0
0,0,21,60,52,0,67,0
0,0,22,68,0,0,73,0
11,0,0,26,0,68,31,16
0,0,22,0,0,102,0,0
0,129,0,0,0,0,0,0
33,0,29,0,120,12,19,0
0,143,0,0,0,0,0,0
0,2,75,34,58,0,22,0
0,0,0,0,0,0,0,125
36,0,79,0,0,0,36,3
0,0,0,0,0,120,0,0
0,0,46,27,59,3,28,2
0,0,0,0,0,0,115,25
0,0,0,0,22,17,100,32
9,18,0,7,0,89,0,0
0,0,0,0,0,118,0,0
0,145,0,0,0,0,0,0
143,0,0,0,14,0,0,0
14,7,0,42,0,7,38,9
8,0,0,140,23,0,0,0
0,17,0,20,62,0,43,23
0,0,0,0,0,104,0,1
2,15,0,8,0,87,0,12
0,5,0,102,0,2,21,7
10,0,0,0,8,0,136,0
0,0,0,0,0,114,0,2
0,131,0,0,0,0,0,0
25,27,0,86,0,0,0,0
0,6,40,17,0,75,0,0
0,132,0,0,0,0,0,0
0,5,0,100,66,18,0,0
0,0,0,0,166,16,55,7
0,0,0,0,0,119,0,0
1,0,0,0,0,30,92,7
0,131,0,0,0,0,0,0
0,0,26,118,0,0,0,0
0,0,55,34,84,3,12,0
42,9,31,28,0,31,0,1
4,0,119,0,0,0,0,0
0,0,24,24,41,0,83,6
6,0,30,5,120,40,0,0
22,0,50,0,0,60,0,0
9,22,0,100,0,0,0,0
0,0,0,0,0,0,0,96
13,12,0,4,0,0,9,74
0,133,0,0,0,0,0,0
0,0,67,32,35,0,0,0
25,0,11,0,0,0,79,0
0,0,0,0,0,0,111,0
0,0,96,0,78,0,0,1
29,0,18,22,0,34,0,1
0,0,0,0,0,0,0,105
0,16,0,0,0,16,36,34
43,0,0,0,0,58,0,0
0,0,0,0,0,108,0,0
0,0,0,0,0,113,0,0
58,0,33,0,0,0,20,0
3,9,0,12,0,0,90,1
0,118,0,0,0,0,0,0
0,0,0,0,34,0,0,101
0,0,0,0,0,0,114,0
0,6,0,0,0,101,0,0
70,0,0,0,0,0,40,0
0,110,0,0,0,0,0,0
0,0,0,0,0,1,0,88
0,0,0,0,0,81,0,0
2,12,0,0,0,43,0,40
14,42,0,46,0,0,0,0
59,0,51,0,0,0,0,0
0,105,0,0,0,0,0,0
36,11,34,0,0,0,33,0
0,0,0,0,0,0,39,62
0,97,17,0,0,0,0,0
0,0,0,0,0,86,0,0
0,0,0,0,0,0,0,83
37,0,33,0,0,0,35,0
89,0,0,0,0,0,0,0
3,0,0,0,0,81,0,0
0,0,0,0,0,97,0,0
7,15,0,30,0,33,24,0
94,0,0,0,0,4,0,0
1,95,21,0,0,0,0,0
10,50,22,0,15,0,9,0
0,119,0,0,0,0,0,0
59,0,19,0,81,0,0,0
36,0,73,0,0,0,0,0
2,0,0,0,0,76,0,11
0,0,0,0,0,100,0,0
59,0,49,0,0,0,0,0
81,0,15,7,0,0,0,0
0,66,0,0,0,0,18,10
41,7,51,5,0,0,0,0
0,102,0,0,0,0,0,0
0,106,0,0,0,0,0,0
0,0,0,0,0,0,0,84
0,0,0,115,0,0,0,0
104,0,0,0,0,0,0,0
0,2,0,0,0,40,29,15
6,0,0,0,0,0,94,0
0,0,65,0,0,0,24,9
29,27,0,0,0,0,46,0
0,0,0,0,0,79,0,0
0,0,0,0,0,78,0,0
0,5,23,43,0,18,0,0
96,0,0,0,0,0,0,0
0,0,0,0,0,0,99,0
0,88,0,0,0,0,0,0
39,0,56,0,0,0,0,0
0,0,59,47,0,0,0,0
21,4,15,0,0,0,60,0
11,0,58,19,0,3,0,0
8,0,0,32,109,7,0,1
1,0,41,12,0,0,45,1
0,0,0,90,0,0,0,0
0,0,0,0,0,0,0,94
0,0,0,104,0,0,0,0
0,0,0,0,0,0,83,11
4,27,0,0,0,0,57,0
2,81,0,0,0,0,0,0
0,16,0,21,0,51,0,0
0,0,0,0,0,81,0,0
0,0,0,0,0,69,0,0
79,0,0,0,0,0,0,0
15,0,0,59,37,4,0,0
0,0,0,8,0,0,0,70
0,0,0,19,0,0,78,0
0,0,0,0,0,65,0,18
0,0,0,82,0,0,0,0
0,0,91,0,0,0,0,0
0,0,12,0,0,2,0,50
0,0,0,86,0,0,0,0
15,0,63,10,0,0,0,0
0,10,26,0,12,0,54,0
0,0,0,85,0,0,0,0
