"MO100E","MO100S","MO87E","MO87S","MO98E","MO98S","MO99E","MO99S"
222,183,0,0,0,29,0,0
0,0,0,39,0,389,0,5
0,0,0,0,0,0,430,0
209,16,0,35,18,5,146,0
29,0,0,0,0,69,0,331
0,428,0,0,0,0,0,0
0,0,66,138,58,0,165,0
0,0,83,177,0,0,166,0
34,0,0,65,0,208,74,44
0,0,46,0,0,379,0,0
0,421,0,0,0,0,0,0
98,0,85,0,128,36,64,0
0,411,0,0,0,0,0,0
0,5,203,88,59,0,54,0
0,0,0,0,0,0,0,409
87,0,210,0,0,0,93,18
0,0,0,0,0,407,0,0
0,0,149,85,59,19,89,5
0,0,0,0,0,0,322,84
0,0,0,0,22,34,270,79
25,49,0,19,0,309,0,0
0,0,0,0,0,401,0,0
0,400,0,0,0,0,0,0
383,0,0,0,14,0,0,0
60,15,0,146,0,24,111,41
14,0,0,358,25,0,0,0
0,58,0,67,63,0,125,84
0,0,0,0,0,390,0,7
18,38,0,18,0,283,0,36
0,15,0,261,0,14,59,44
24,0,0,0,10,0,354,3
0,0,0,0,0,388,0,3
0,390,0,0,0,0,0,0
92,75,0,220,0,0,0,0
0,16,114,43,0,213,0,0
0,385,0,0,0,0,0,0
0,18,0,239,69,59,0,0
0,0,0,0,175,43,145,20
0,0,0,0,0,383,0,0
6,0,0,0,0,92,253,31
0,374,0,0,0,2,0,0
0,0,54,322,0,0,0,0
0,0,155,89,85,15,30,0
122,27,91,45,0,83,0,5
20,0,346,0,0,7,0,0
0,0,53,68,41,0,195,11
20,0,92,9,124,118,0,0
56,0,136,0,0,170,0,0
36,62,0,263,0,0,0,0
0,0,0,0,0,0,0,355
31,27,0,24,0,0,28,244
0,353,0,0,0,0,0,0
0,0,236,80,36,0,0,0
101,0,34,0,0,0,212,0
0,0,0,0,0,0,344,0
0,0,259,0,78,0,0,6
93,3,47,57,0,139,0,3
0,0,0,0,0,0,0,338
0,41,0,0,0,59,85,152
127,0,0,0,0,207,0,0
0,0,0,0,0,334,0,0
0,0,0,0,0,332,0,0
178,0,90,0,0,0,62,0
9,19,0,31,0,0,260,10
0,328,0,0,0,0,0,0
0,0,0,0,35,0,0,292
0,0,0,0,0,0,327,0
0,17,0,0,0,309,0,0
209,0,0,0,0,0,116,0
0,325,0,0,0,0,0,0
0,0,0,0,0,3,0,321
0,0,0,0,0,324,0,0
16,30,0,0,0,140,0,137
43,120,0,153,0,5,0,0
183,0,138,0,0,0,0,0
0,320,0,0,0,0,0,0
95,23,114,0,0,0,86,0
0,0,0,0,0,0,100,218
0,274,43,0,0,0,0,0
0,0,0,0,0,314,0,0
0,0,0,0,0,0,0,312
110,0,101,0,0,0,100,0
310,0,0,0,0,0,0,0
8,0,0,0,0,302,0,0
0,0,0,0,0,310,0,0
21,44,0,60,0,119,65,0
292,0,0,0,0,15,0,0
13,241,53,0,0,0,0,0
36,150,64,0,15,5,35,0
0,304,0,0,0,0,0,0
157,0,58,0,84,0,0,0
85,0,213,0,0,0,0,0
19,0,0,0,0,237,0,42
0,0,0,0,0,298,0,0
156,0,140,0,0,0,0,0
231,0,46,19,0,0,0,0
0,218,0,0,0,0,49,27
123,13,140,15,0,0,0,2
0,292,0,0,0,0,0,0
0,290,0,0,0,0,0,0
0,0,0,0,0,0,0,289
0,0,0,288,0,0,0,0
287,0,0,0,0,0,0,0
0,20,0,0,0,130,84,48
17,0,0,0,0,0,264,0
0,0,177,0,0,0,70,34
87,69,0,0,0,0,124,0
0,0,0,0,0,279,0,0
0,0,0,0,0,277,0,0
0,14,79,131,0,51,0,0
274,0,0,0,0,0,0,0
0,0,0,0,0,0,273,0
0,272,0,0,0,0,0,0
132,0,138,0,0,0,0,0
0,0,148,121,0,0,0,0
62,12,38,0,0,0,155,0
36,0,160,55,0,14,0,2
14,0,0,118,113,19,0,3
8,0,118,30,0,0,101,8
0,0,0,265,0,0,0,0
0,0,0,0,0,0,0,265
0,0,0,263,0,0,0,0
0,0,0,0,0,0,219,44
12,99,0,0,0,0,149,0
10,249,0,0,0,0,0,0
0,37,0,55,0,167,0,0
0,0,0,0,0,259,0,0
0,0,0,0,0,256,0,0
255,0,0,0,0,0,0,0
29,0,0,168,39,19,0,0
0,0,0,22,0,5,0,228
0,0,0,55,0,0,198,0
0,0,0,0,0,188,0,65
0,0,0,252,0,0,0,0
0,0,251,0,0,0,0,0
0,0,51,0,0,6,0,190
0,0,0,247,0,0,0,0
40,0,185,21,0,0,0,0
0,18,66,0,12,0,150,0
0,0,0,246,0,0,0,0
0,0,0,245,0,0,0,0
0,0,0,245,0,0,0,0
243,0,0,0,0,0,0,0
19,0,0,71,120,33,0,0
0,0,108,75,60,0,0,0
125,18,90,9,0,0,0,0
0,11,0,0,0,231,0,0
0,0,0,242,0,0,0,0
0,0,0,0,0,241,0,0
0,0,0,0,0,0,208,33
149,0,0,29,15,0,46,0
0,0,0,0,0,8,215,15
0,237,0,0,0,0,0,0
0,0,0,0,0,217,0,20
117,83,0,35,0,0,0,0
17,217,0,0,0,0,0,0
40,51,42,25,0,0,62,13
0,0,0,0,29,204,0,0
0,232,0,0,0,0,0,0
0,0,67,18,0,0,145,0
0,229,0,0,0,0,0,0
0,227,0,0,0,0,0,0
0,0,0,0,0,0,227,0
0,224,0,0,0,0,0,0
0,0,0,0,65,6,153,0
0,38,58,25,0,0,102,0
0,0,0,0,0,222,0,0
0,0,0,0,0,194,0,26
0,0,0,0,0,16,0,203
218,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0
0,0,0,0,0,0,97,121
36,24,0,0,0,86,52,19
0,0,0,0,0,0,164,53
216,0,0,0,0,0,0,0
0,0,0,0,69,39,36,72
0,0,0,0,0,0,102,114
58,0,0,157,0,0,0,0
0,0,0,215,0,0,0,0
0,19,0,0,0,193,0,0
0,0,0,0,0,0,89,120
0,18,101,0,0,0,89,0
0,0,157,0,0,0,51,0
200,0,0,7,0,0,0,0
9,32,51,0,92,0,0,23
0,206,0,0,0,0,0,0
90,0,115,0,0,0,0,0
46,0,0,0,62,97,0,0
0,0,0,205,0,0,0,0
0,0,0,0,0,180,0,25
70,20,0,0,28,0,86,0
0,66,0,0,0,138,0,0
33,0,119,0,0,51,0,0
93,20,0,89,0,0,0,0
60,0,63,33,42,4,0,0
0,22,0,0,0,180,0,0
148,0,53,0,0,0,0,0
0,0,200,0,0,0,0,0
95,0,0,0,0,0,95,9
0,198,0,0,0,0,0,0
0,0,0,0,0,198,0,0
55,13,0,0,0,128,0,0
11,0,0,93,14,78,0,0
52,38,0,0,0,0,104,0
0,0,0,0,0,194,0,0
0,0,0,0,0,193,0,0
192,0,0,0,0,0,0,0
0,9,0,20,0,163,0,0
191,0,0,0,0,0,0,0
0,0,191,0,0,0,0,0
0,0,0,0,0,191,0,0
0,0,0,0,0,191,0,0
0,0,0,0,0,190,0,0
0,189,0,0,0,0,0,0
0,0,0,0,0,0,189,0
128,0,60,0,0,0,0,0
69,0,86,18,15,0,0,0
51,0,0,97,0,40,0,0
11,0,177,0,0,0,0,0
0,0,50,45,0,77,0,16
8,0,0,168,0,11,0,0
0,0,0,0,187,0,0,0
61,0,0,0,5,0,120,0
0,0,0,174,0,12,0,0
0,0,0,23,0,0,139,24
0,0,0,0,0,186,0,0
0,0,0,0,0,186,0,0
0,0,0,0,0,0,160,26
29,8,0,0,0,11,0,137
0,185,0,0,0,0,0,0
0,24,0,0,0,161,0,0
0,0,106,0,47,32,0,0
0,0,0,0,0,0,0,185
108,0,47,7,22,0,0,0
69,115,0,0,0,0,0,0
0,0,133,0,51,0,0,0
0,0,0,12,0,0,104,68
0,0,0,0,0,16,0,168
66,70,40,0,7,0,0,0
0,0,0,0,0,0,0,182
0,0,0,0,0,181,0,0
0,0,0,0,0,0,163,18
0,179,0,0,0,0,0,0
0,45,109,0,21,0,0,4
0,178,0,0,0,0,0,0
0,0,178,0,0,0,0,0
0,177,0,0,0,0,0,0
18,0,0,0,13,131,0,14
66,0,108,0,0,0,0,0
0,0,0,150,24,0,0,0
56,0,105,0,12,0,0,0
11,0,109,0,53,0,0,0
3,29,0,141,0,0,0,0
0,14,0,0,0,0,0,158
0,0,0,150,0,0,22,0
171,0,0,0,0,0,0,0
0,53,0,0,73,27,0,18
96,16,44,0,14,0,0,0
0,0,0,23,0,144,0,3
0,0,0,0,0,170,0,0
0,0,0,0,0,106,0,64
0,0,168,0,0,0,0,0
11,0,52,104,0,0,0,0
0,0,0,0,75,0,92,0
0,0,0,0,0,16,88,63
21,76,68,0,0,0,0,0
36,0,0,0,0,0,129,0
0,0,103,0,62,0,0,0
0,0,0,0,0,165,0,0
164,0,0,0,0,0,0,0
8,0,116,0,0,0,40,0
0,0,164,0,0,0,0,0
0,0,101,63,0,0,0,0
13,0,0,150,0,0,0,0
0,163,0,0,0,0,0,0
23,95,0,30,0,4,0,10
0,0,0,0,0,162,0,0
13,0,0,0,22,0,125,0
0,25,0,86,27,0,0,22
0,0,0,0,0,0,160,0
0,159,0,0,0,0,0,0
0,63,96,0,0,0,0,0
31,0,0,12,0,114,0,0
20,0,76,0,0,61,0,0
0,0,0,44,0,30,80,3
0,0,0,13,22,111,0,11
19,0,0,124,13,0,0,0
0,73,0,0,0,0,0,83
0,46,0,24,0,77,0,9
0,0,0,0,0,0,105,51
0,155,0,0,0,0,0,0
0,0,0,153,0,2,0,0
0,0,154,0,0,0,0,0
0,0,134,19,0,0,0,0
0,0,0,153,0,0,0,0
0,152,0,0,0,0,0,0
0,0,93,59,0,0,0,0
0,0,152,0,0,0,0,0
0,0,0,0,0,152,0,0
26,118,0,7,0,0,0,0
0,0,58,0,46,0,47,0
148,0,0,0,0,0,0,0
0,0,0,115,0,33,0,0
147,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0
6,0,141,0,0,0,0,0
0,36,0,111,0,0,0,0
0,0,0,0,0,0,0,147
146,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0
85,15,33,0,9,4,0,0
20,126,0,0,0,0,0,0
0,0,0,12,0,0,134,0
0,0,0,0,0,146,0,0
46,0,0,99,0,0,0,0
23,0,0,0,64,0,58,0
0,0,96,0,45,4,0,0
0,0,52,0,0,93,0,0
0,0,0,0,0,0,0,145
22,49,0,59,0,0,0,14
144,0,0,0,0,0,0,0
0,0,0,0,0,0,144,0
126,0,0,0,17,0,0,0
11,0,63,0,0,0,69,0
143,0,0,0,0,0,0,0
0,96,0,0,0,0,0,47
0,0,0,0,0,143,0,0
142,0,0,0,0,0,0,0
0,142,0,0,0,0,0,0
0,142,0,0,0,0,0,0
0,0,0,0,0,142,0,0
0,0,0,0,0,0,142,0
0,141,0,0,0,0,0,0
0,0,0,0,0,0,141,0
0,0,140,0,0,0,0,0
0,0,52,0,0,0,88,0
0,0,0,45,0,0,95,0
139,0,0,0,0,0,0,0
23,5,111,0,0,0,0,0
15,0,0,0,0,41,0,83
0,0,0,0,0,13,56,70
66,10,48,0,14,0,0,0
0,0,0,0,0,0,138,0
52,0,33,0,52,0,0,0
7,0,0,130,0,0,0,0
0,0,0,137,0,0,0,0
0,0,0,0,0,0,137,0
53,0,83,0,0,0,0,0
34,82,0,0,0,9,0,11
0,0,0,136,0,0,0,0
0,0,0,0,0,0,115,21
58,0,0,0,0,44,0,32
54,0,66,0,14,0,0,0
0,0,0,0,0,134,0,0
67,0,0,66,0,0,0,0
0,0,0,0,0,12,121,0
0,0,0,0,0,0,0,133
132,0,0,0,0,0,0,0
17,0,115,0,0,0,0,0
0,0,132,0,0,0,0,0
0,0,0,0,0,0,44,88
34,97,0,0,0,0,0,0
0,0,126,0,0,0,0,4
49,80,0,0,0,0,0,0
